user_id,matches,recomendations,train,eval
U_6840880,0,4,12,4
U_7090811,0,3,8,3
U_2619072,0,2,6,2
U_10504730,0,1,3,1
U_9599092,0,3,7,3
U_51620,0,2,3,2
U_7047778,0,1,3,1
U_8883743,0,2,4,2
U_9371,0,2,3,2
U_2664776,0,1,3,1
U_7188824,0,2,3,2
U_2864530,0,1,3,1
U_9026151,0,2,5,2
U_9853996,0,1,3,1
U_8080689,0,1,3,1
U_2969880,1,2,3,2
U_8424977,0,1,3,1
U_4609077,0,1,3,1
U_9598244,0,2,6,2
U_582196,0,2,5,2
U_8123861,0,1,3,1
U_50033,0,2,3,2
U_2712486,0,2,5,2
U_7998038,0,1,3,1
U_8249475,1,2,3,2
U_4442476,0,1,3,1
U_4442477,0,1,3,1
U_4442478,0,1,3,1
U_11371453,0,1,3,1
U_8139967,0,2,4,2
U_7656183,0,3,6,3
U_8509960,0,3,8,3
U_7188795,0,1,3,1
U_6510835,0,2,3,2
U_9655844,0,2,3,2
U_1065472,0,2,3,2
U_7776817,0,2,5,2
U_97248,0,5,13,5
U_5314738,0,1,3,1
U_4530508,0,2,3,2
U_9758622,0,2,3,2
U_125561,0,4,9,4
U_7205832,0,3,7,3
U_7205837,0,2,4,2
U_2235289,0,1,3,1
U_7142001,0,1,3,1
U_8033501,0,3,6,3
U_7765984,1,1,3,1
U_8397567,0,1,3,1
U_7114397,0,2,4,2
U_112364,0,2,6,2
U_11723922,0,2,3,2
U_2442595,0,2,3,2
U_162365,0,1,3,1
U_676515,0,1,3,1
U_9472581,0,1,3,1
U_7844208,0,2,5,2
U_9318358,0,1,3,1
U_10746632,0,1,3,1
U_8663498,0,3,7,3
U_6601822,0,2,6,2
U_11976936,0,2,5,2
U_7724295,0,2,4,2
U_7428171,0,2,5,2
U_28337,0,2,3,2
U_8272906,0,2,3,2
U_11576072,0,1,3,1
U_7183624,0,1,3,1
U_10698999,0,1,3,1
U_2770273,0,2,4,2
U_1913259,0,2,6,2
U_2970281,0,1,3,1
U_2639997,0,1,3,1
U_11577264,0,2,3,2
U_653363,0,3,6,3
U_10581900,0,1,3,1
U_1086948,0,1,3,1
U_7011306,0,5,13,5
U_10579367,0,1,3,1
U_8199503,0,1,3,1
U_7111996,0,4,9,4
U_7111999,0,3,8,3
U_310249,0,1,3,1
U_7194602,0,1,3,1
U_8043252,0,2,4,2
U_706405,0,3,8,3
U_7065224,0,2,4,2
U_2312208,0,2,6,2
U_8660312,0,2,4,2
U_1517437,0,2,5,2
U_44271,0,2,5,2
U_4420044,0,3,7,3
U_2721265,0,2,3,2
U_1636823,0,2,6,2
U_9227255,0,9,27,9
U_6173986,0,1,3,1
U_669815,0,1,3,1
U_10462848,0,2,3,2
U_3232830,0,5,13,5
